order_id,customer_id,product_id,order_status,created_at,total_amount,currency_code,_dms_timestamp
O0038,C002,P08,delivered,2025-10-16 04:00:00,95.00,USD,2025-10-16 04:17:00
O0041,C002,P03,delivered,2025-10-16 08:54:00,223.50,USD,2025-10-16 09:18:00
O0017,C008,P01,pending,2025-10-18 13:02:00,179.70,USD,2025-10-18 13:32:00
O0058,C012,P06,cancelled,2025-10-19 19:21:00,119.00,USD,2025-10-19 19:38:00
O0008,C007,P04,delivered,2025-10-30 07:40:00,96.00,USD,2025-10-30 08:01:00
O0024,C011,P04,delivered,2025-11-03 19:56:00,72.00,USD,2025-11-03 20:14:00
O0028,C009,P04,delivered,2025-11-04 02:45:00,48.00,USD,2025-11-04 02:59:00
O0044,C003,P01,delivered,2025-11-11 21:58:00,179.70,USD,2025-11-11 22:07:00
O0049,C003,P07,delivered,2025-11-17 00:04:00,38.75,USD,2025-11-17 00:15:00
O0007,C004,P05,cancelled,2025-11-17 19:35:00,45.00,USD,2025-11-17 19:54:00
O0050,C003,P04,delivered,2025-11-23 16:09:00,72.00,USD,2025-11-23 16:13:00
O0010,C004,P07,cancelled,2025-12-02 11:33:00,116.25,USD,2025-12-02 11:38:00
O0019,C003,P02,delivered,2025-12-06 14:08:00,178.00,USD,2025-12-06 14:26:00
O0027,C007,P02,delivered,2025-12-08 04:17:00,89.00,USD,2025-12-08 04:43:00
O0015,C011,P03,shipped,2025-12-09 06:44:00,74.50,USD,2025-12-09 07:05:00
O0046,C010,P01,delivered,2025-12-18 01:26:00,179.70,USD,2025-12-18 01:40:00
O0012,C007,P02,delivered,2025-12-19 16:22:00,356.00,USD,2025-12-19 16:37:00
O0054,C005,P01,confirmed,2025-12-20 12:39:00,59.90,USD,2025-12-20 12:48:00
O0035,C010,P02,delivered,2025-12-21 22:35:00,178.00,USD,2025-12-21 22:55:00
O0048,C004,P07,delivered,2025-12-24 02:38:00,77.50,USD,2025-12-24 03:04:00
O0043,C001,P08,confirmed,2025-12-31 21:28:00,285.00,USD,2025-12-31 21:42:00
O0056,C005,P07,pending,2026-01-07 13:53:00,77.50,USD,2026-01-07 14:07:00
O0023,C004,P02,pending,2026-01-12 23:00:00,89.00,USD,2026-01-12 23:02:00
O0042,C012,P05,shipped,2026-01-22 01:43:00,90.00,USD,2026-01-22 02:05:00
O0030,C004,P01,confirmed,2026-01-23 02:57:00,59.90,USD,2026-01-23 03:13:00
O0013,C011,P01,delivered,2026-01-27 21:25:00,59.90,USD,2026-01-27 21:50:00
O0011,C003,P01,delivered,2026-02-01 14:55:00,59.90,USD,2026-02-01 15:21:00
O0016,C003,P03,delivered,2026-02-02 10:48:00,223.50,USD,2026-02-02 11:13:00
O0034,C003,P01,pending,2026-02-03 13:50:00,59.90,USD,2026-02-03 13:53:00
O0031,C003,P07,delivered,2026-02-08 23:05:00,38.75,USD,2026-02-08 23:18:00
O0006,C001,P04,shipped,2026-02-13 17:43:00,72.00,USD,2026-02-13 17:45:00
O0009,C012,P03,delivered,2026-02-15 01:44:00,149.00,USD,2026-02-15 01:53:00
O0040,C011,P05,delivered,2026-02-19 12:15:00,45.00,USD,2026-02-19 12:25:00
O0001,C001,P06,delivered,2026-03-07 02:38:00,357.00,USD,2026-03-07 02:56:00
O0051,C004,P08,delivered,2026-03-07 04:06:00,190.00,USD,2026-03-07 04:21:00
O0018,C010,P01,cancelled,2026-03-11 20:45:00,119.80,USD,2026-03-11 20:48:00
O0052,C001,P04,delivered,2026-03-14 20:08:00,48.00,USD,2026-03-14 20:21:00
O0053,C006,P02,delivered,2026-03-19 21:05:00,267.00,USD,2026-03-19 21:18:00
O0059,C012,P06,shipped,2026-03-24 08:34:00,476.00,USD,2026-03-24 08:39:00
O0004,C006,P06,delivered,2026-04-01 15:20:00,238.00,USD,2026-04-01 15:42:00
O0005,C009,P02,delivered,2026-04-04 07:01:00,178.00,USD,2026-04-04 07:07:00
O0014,C007,P02,confirmed,2026-04-04 09:39:00,267.00,USD,2026-04-04 09:40:00
O0032,C003,P07,confirmed,2026-04-05 15:42:00,155.00,USD,2026-04-05 15:49:00
O0039,C004,P06,delivered,2026-04-06 01:01:00,119.00,USD,2026-04-06 01:07:00
O0037,C008,P03,shipped,2026-04-11 21:35:00,223.50,USD,2026-04-11 22:00:00
O0021,C008,P07,delivered,2026-04-21 07:41:00,116.25,USD,2026-04-21 07:56:00
